t,hares[x],lynx[y]
1899.963355,297500,40833.33333
1900.841748,466666.6667,52500
1901.912866,705833.3333,93333.33333
1902.898208,770000,355833.3333
1903.885993,364583.3333,592083.3333
1904.945168,195416.6667,411250
1905.942725,189583.3333,192500
1906.925624,212916.6667,131250
1907.972584,221666.6667,81666.66667
1908.948697,247916.6667,93333.33333
1909.960369,277083.3333,72916.66667
1910.969327,399583.3333,81666.66667
1912.007329,574583.3333,128333.3333
1912.978013,758333.3333,198333.3333
1913.963898,516250,455000
1914.968512,195416.6667,510416.6667
1915.932682,107916.6667,300416.6667
1916.95494,72916.66667,166250
1917.971227,145833.3333,96250
1919.046145,160416.6667,96250
1920.023887,247916.6667,90416.66667
